NAME,COUNTY,ELEV_IN_M
Herington,Dickinson,412
Roselle Park,Union,23
Lorain,Cambria,470
Russell,Russell,557
Linden,Union,5
Loretto,Cambria,592
Lawrence,Douglas,264
New Providence,Union,67
Nanty Glo,Cambria,533
De Soto,Johnson,262
Westfield,Union,39
Patton,Cambria,535
Edgerton,Johnson,305
Northern Cambria,Cambria,462
Portage,Cambria,513
Fairway,Johnson,292
Summerhill,Cambria,487
Sankertown,Cambria,631
Gardner,Johnson,323
Beaverdale,Cambria,586
Scalp Level,Cambria,539
South Fork,Cambria,456
Lake Quivira,Johnson,276
Southmont,Cambria,486
Leawood,Johnson,287
Vintondale,Cambria,427
Lenexa,Johnson,314
Westmont,Cambria,534
Roeland Park,Johnson,302
Wilmore,Cambria,476
Shawnee,Johnson,325
Hastings,Adams,586
Spring Hill,Johnson,324
Holdrege,Phelps,711
Westwood,Johnson,290
Lower Burrell,Westmoreland,229
Prairie Village,Johnson,302
Derry,Westmoreland,360
New Boston,Scioto,163
Donegal,Westmoreland,552
Portsmouth,Scioto,163
East Vandergrift,Westmoreland,245
Salina,Saline,373
Export,Westmoreland,298
Council Grove,Morris,377
Greensburg,Westmoreland,314
Ellsworth,Ellsworth,469
Hunker,Westmoreland,286
Fairfax,Fairfax (city),132
Hyde Park,Westmoreland,242
Saint Louis,St. Louis (city),141
Irwin,Westmoreland,295
Emporia,Lyon,348
Jeannette,Westmoreland,315
Louisburg,Miami,333
Latrobe,Westmoreland,309
Paola,Miami,279
Ligonier,Westmoreland,366
Ellinwood,Barton,546
Madison,Westmoreland,345
Great Bend,Barton,564
Manor,Westmoreland,285
Hoisington,Barton,563
Avalon,Allegheny,292
Monessen,Westmoreland,343
Lindsborg,McPherson,406
Baldwin,Allegheny,352
Mount Pleasant,Westmoreland,353
McPherson,McPherson,456
Murrysville,Westmoreland,276
Florence,Marion,387
Bell Acres,Allegheny,358
New Alexandria,Westmoreland,304
Hillsboro,Marion,436
Bellevue,Allegheny,298
New Florence,Westmoreland,329
Lyons,Rice,512
New Kensington,Westmoreland,241
Sterling,Rice,500
Ben Avon,Allegheny,258
New Stanton,Westmoreland,298
Burlington,Coffey,315
North Belle Vernon,Westmoreland,278
Fairview Beach,King George,6
Ben Avon Heights,Allegheny,354
North Irwin,Westmoreland,292
Garnett,Anderson,326
Bethel Park,Allegheny,364
Oklahoma,Westmoreland,293
Larned,Pawnee,611
Blawnox,Allegheny,245
Penn,Westmoreland,298
Fairmount,Somerset,1
Scottdale,Westmoreland,317
Garden City,Finney,865
Brackenridge,Allegheny,254
Seward,Westmoreland,347
Staunton,Staunton (city),424
Braddock,Allegheny,232
Smithton,Westmoreland,242
Halstead,Harvey,424
Braddock Hills,Allegheny,302
South Greensburg,Westmoreland,325
Eureka,Greenwood,329
Southwest Greensburg,Westmoreland,332
Hutchinson,Reno,468
Sutersville,Westmoreland,285
Bryce Canyon City,Garfield,2336
Bradford Woods,Allegheny,370
Vandergrift,Westmoreland,268
Augusta,Butler,389
Brentwood,Allegheny,370
West Leechburg,Westmoreland,306
El Dorado,Butler,409
West Newton,Westmoreland,234
Bridgeville,Allegheny,262
Kinsley,Edwards,662
Youngstown,Westmoreland,327
Carnegie,Allegheny,236
Charlottesville,Charlottesville (city),142
Youngwood,Westmoreland,291
Castle Shannon,Allegheny,316
Yates Center,Woodson,345
Trafford,Westmoreland,260
Chalfant,Allegheny,314
Humboldt,Allen,299
Bally,Berks,143
Cheswick,Allegheny,233
Iola,Allen,296
Churchill,Allegheny,323
Clairton,Allegheny,275
Coraopolis,Allegheny,220
Bechtelsville,Berks,123
La Harpe,Allen,315
Bernville,Berks,98
Crafton,Allegheny,267
Fort Scott,Bourbon,258
Birdsboro,Berks,49
Dormont,Allegheny,363
Dodge City,Ford,760
Boyertown,Berks,126
Bel Aire,Sedgwick,421
Centerport,Berks,101
Dravosburg,Allegheny,228
Wichita,Sedgwick,397
Fleetwood,Berks,135
Duquesne,Allegheny,280
Pratt,Pratt,575
Hamburg,Berks,123
East McKeesport,Allegheny,345
Covington,Covington (city),381
Kenhorst,Berks,104
East Pittsburgh,Allegheny,279
Lexington,Lexington (city),324
Kutztown,Berks,129
Edgewood,Allegheny,298
Greensburg,Kiowa,681
Laureldale,Berks,118
Edgeworth,Allegheny,222
Haviland,Kiowa,657
Leesport,Berks,90
Kingman,Kingman,464
Lenhartsville,Berks,118
Elizabeth,Allegheny,230
Fredonia,Wilson,273
Lyons,Berks,140
Emsworth,Allegheny,221
Chanute,Neosho,292
Mohnton,Berks,153
Mount Penn,Berks,149
Frontenac,Crawford,291
Etna,Allegheny,226
Reading,Berks,78
Girard,Crawford,299
Forest Hills,Allegheny,293
Robesonia,Berks,128
Pittsburg,Crawford,287
Glassport,Allegheny,232
Saint Lawrence,Berks,89
Richmond,Richmond (city),64
Shillington,Berks,101
Glenfield,Allegheny,224
Ettrick,Chesterfield,32
Shoemakersville,Berks,108
Green Tree,Allegheny,367
Haysville,Allegheny,220
Sinking Spring,Berks,123
Heidelberg,Allegheny,251
Homestead,Allegheny,238
Strausstown,Berks,180
Ingram,Allegheny,283
Topton,Berks,147
Leetsdale,Allegheny,218
Wernersville,Berks,113
Liberty,Allegheny,277
West Reading,Berks,92
Lincoln,Allegheny,330
McKeesport,Allegheny,231
Womelsdorf,Berks,123
McKees Rocks,Allegheny,223
Wyomissing,Berks,91
Fox Chapel,Allegheny,301
Millvale,Allegheny,240
Mount Oliver,Allegheny,353
Franklin Park,Allegheny,377
Aspinwall,Allegheny,227
Munhall,Allegheny,319
North Braddock,Allegheny,308
Oakdale,Allegheny,274
Oakmont,Allegheny,236
Glen Osborne,Allegheny,232
Pennsbury Village,Allegheny,341
Pitcairn,Allegheny,240
Pittsburgh,Allegheny,233
Pleasant Hills,Allegheny,374
Port Vue,Allegheny,329
Rankin,Allegheny,267
Rosslyn Farms,Allegheny,331
Sewickley,Allegheny,226
Sewickley Heights,Allegheny,364
Sewickley Hills,Allegheny,348
Sharpsburg,Allegheny,224
Springdale,Allegheny,248
Swissvale,Allegheny,315
Tarentum,Allegheny,241
Thornburg,Allegheny,259
Turtle Creek,Allegheny,227
Verona,Allegheny,229
Versailles,Allegheny,253
Wall,Allegheny,241
West Elizabeth,Allegheny,230
West Homestead,Allegheny,315
West Mifflin,Allegheny,332
West View,Allegheny,347
Whitaker,Allegheny,301
Whitehall,Allegheny,383
White Oak,Allegheny,250
Wilkinsburg,Allegheny,286
Wilmerding,Allegheny,236
Jefferson Hills,Allegheny,315
New Philadelphia,Tuscarawas,275
Lykens,Dauphin,210
Berrysburg,Dauphin,221
Dauphin,Dauphin,109
Elizabethville,Dauphin,206
Gratz,Dauphin,249
Halifax,Dauphin,124
Harrisburg,Dauphin,101
Highspire,Dauphin,97
Hummelstown,Dauphin,117
Middletown,Dauphin,110
Millersburg,Dauphin,130
Paxtang,Dauphin,111
Penbrook,Dauphin,148
Pillow,Dauphin,168
Royalton,Dauphin,90
Steelton,Dauphin,97
Williamstown,Dauphin,223
Blain,Perry,218
Duncannon,Perry,108
Landisburg,Perry,177
Liverpool,Perry,121
Marysville,Perry,112
Millerstown,Perry,131
New Buffalo,Perry,113
Newport,Perry,119
Fairless Hills,Bucks,33
Penndel,Bucks,33
Perkasie,Bucks,113
Quakertown,Bucks,152
Richlandtown,Bucks,164
Riegelsville,Bucks,57
Sellersville,Bucks,105
Silverdale,Bucks,133
Trumbauersville,Bucks,164
Tullytown,Bucks,5
Arkansas City,Cowley,341
Yardley,Bucks,22
Bristol,Bucks,7
Winfield,Cowley,344
Caldwell,Sumner,349
Chalfont,Bucks,86
Doylestown,Bucks,127
Wellington,Sumner,375
Liberal,Seward,864
Dublin,Bucks,175
Hulmeville,Bucks,12
Caney,Montgomery,237
Ivyland,Bucks,91
Cherryvale,Montgomery,255
Langhorne,Bucks,67
Coffeyville,Montgomery,225
Langhorne Manor,Bucks,67
Independence,Montgomery,245
Morrisville,Bucks,30
New Britain,Bucks,88
New Hope,Bucks,21
Newtown,Bucks,49
Anthony,Harper,412
Telford,Bucks,134
Carteret,Middlesex,4
Sayreville,Middlesex,18
South Amboy,Middlesex,38
South Plainfield,Middlesex,18
South River,Middlesex,25
Spotswood,Middlesex,9
Middlesex,Middlesex,15
Milltown,Middlesex,25
New Brunswick,Middlesex,26
Harper,Harper,432
Chetopa,Labette,251
Perth Amboy,Middlesex,17
Parsons,Labette,275
Steubenville,Jefferson,320
Fredericktown,Knox,334
Bedford,Bedford (city),306
Mount Vernon,Knox,306
Baxter Springs,Cherokee,257
Cleona,Lebanon,135
Columbus,Cherokee,278
Cornwall,Lebanon,189
Jonestown,Lebanon,147
Galena,Cherokee,275
Lebanon,Lebanon,143
Mount Gretna,Lebanon,205
Scammon,Cherokee,274
Myerstown,Lebanon,149
Palmyra,Lebanon,139
Weir,Cherokee,282
Salem,Salem (city),325
Richland,Lebanon,150
Williamsburg,Williamsburg (city),26
Beatrice,Gage,392
Fairlawn,Pulaski,585
Hotevilla,Navajo,1926
McDonald,Washington,301
Grand Canyon,Coconino,2099
Fairview,Monmouth,33
Gray Mountain,Coconino,1533
Jacob Lake,Coconino,2417
Belmar,Monmouth,4
Ewing,Lee,429
Bradley Beach,Monmouth,5
Martinsville,Martinsville (city),310
Brielle,Monmouth,5
Larue,Benton,354
War Eagle,Benton,359
Red Bank,Monmouth,14
Osage,Carroll,405
Roosevelt,Monmouth,46
Oakland,Marion,319
Rumson,Monmouth,9
Peel,Marion,286
Sea Bright,Monmouth,6
Sea Girt,Monmouth,4
Clarkridge,Baxter,265
Japton,Madison,464
Shrewsbury,Monmouth,41
Witter,Madison,436
Wesley,Madison,385
Monmouth Beach,Monmouth,6
Stonewall,Greene,87
Oceanport,Monmouth,6
Newburg,Izard,170
Violet Hill,Izard,228
Spring Lake,Monmouth,5
Evansville,Washington,342
Spring Lake Heights,Monmouth,5
Tinton Falls,Monmouth,12
Spring Valley,Washington,398
Union Beach,Monmouth,1
Summers,Washington,362
West Long Branch,Monmouth,9
North Wales,Montgomery,112
Brentwood,Washington,452
Rhea,Washington,344
Pennsburg,Montgomery,116
Fox,Stone,431
Pottstown,Montgomery,47
Old Lexington,Stone,410
Red Hill,Montgomery,114
Timbo,Stone,260
Rockledge,Montgomery,74
Parthenon,Newton,283
Harriet,Searcy,273
Royersford,Montgomery,64
Rock Springs,Searcy,247
Snowball,Searcy,234
Witts Springs,Searcy,584
Schwenksville,Montgomery,45
Souderton,Montgomery,126
Trappe,Montgomery,89
West Conshohocken,Montgomery,63
Princeton,Mercer,65
Pennington,Mercer,64
Tomato,Mississippi,78
Trenton,Mercer,18
Desha,Independence,100
Alma,Harlan,603
Oark,Johnson,311
Camp Hill,Cumberland,133
Lee Creek,Crawford,225
Carlisle,Cumberland,144
Lemoyne,Cumberland,120
Mechanicsburg,Cumberland,132
Uniontown,Crawford,266
Mount Holly Springs,Cumberland,169
Newburg,Cumberland,181
Moreland,Pope,231
Hyndman,Bedford,285
New Cumberland,Cumberland,118
Manns Choice,Bedford,356
Scottsville,Pope,151
Newville,Cumberland,158
Shiremanstown,Cumberland,128
New Paris,Bedford,389
Wolf Bayou,Cleburne,318
Wormleysburg,Cumberland,135
Pleasantville,Bedford,380
Deckerville,Poinsett,68
Shippensburg,Cumberland,199
Rainsburg,Bedford,428
Bedford,Bedford,337
Greenfield,Poinsett,77
Saint Clairsville,Bedford,373
Weona,Poinsett,64
Coaldale,Bedford,345
Saxton,Bedford,273
Everett,Bedford,308
Whitehall,Poinsett,82
Schellsburg,Bedford,384
Hopewell,Bedford,273
Woodbury,Bedford,391
Adamstown,Lancaster,144
El Paso,White,102
Chambersburg,Franklin,187
Steprock,White,104
Greencastle,Franklin,178
Mercersburg,Franklin,178
Floyd,White,111
Mont Alto,Franklin,259
Kirkland Junction,Yavapai,1251
Orrstown,Franklin,208
Waynesboro,Franklin,216
Forest Hills,Jackson,698
Lake Santeetlah,Graham,605
Callimont,Somerset,688
Cleveland,Conway,222
Seven Springs,Somerset,768
Washburn,Sebastian,185
Heath,Licking,262
Newark,Licking,254
Pataskala,Licking,305
Fair Oaks,Cross,67
Exton,Chester,96
Atglen,Chester,149
Tilton,Cross,69
Vanndale,Cross,86
Avondale,Chester,81
Gregory,Woodruff,61
Coatesville,Chester,98
Hillemann,Woodruff,64
Howell,Woodruff,66
Downingtown,Chester,73
Prairie View,Logan,129
Elverson,Chester,206
Gravelly,Yell,141
Waltreak,Yell,125
Briggsville,Yell,134
Goleta,Santa Barbara,6
Parks,Scott,197
Honey Brook,Chester,226
Mabelvale,Pulaski,97
Kennett Square,Chester,117
Marche,Pulaski,82
Parkers,Pulaski,130
Walls,DeSoto,64
Felton,Lee,65
Detonti,Saline,108
Vimy Ridge,Saline,110
Malvern,Chester,171
Crystal Springs,Garland,203
Modena,Chester,93
Oxford,Chester,172
Potter,Polk,284
Parkesburg,Chester,161
Helena,Phillips,60
Oneida,Phillips,53
Phoenixville,Chester,42
South Coatesville,Chester,113
Spring City,Chester,52
Poplar Grove,Phillips,58
West Chester,Chester,137
Tichnor,Arkansas,55
West Grove,Chester,119
Social Hill,Hot Spring,105
Cross Roads,York,244
Dallastown,York,270
Delta,York,139
Dillsburg,York,173
Christmas,Gila,815
Dover,York,137
East Prospect,York,142
Fawn Grove,York,222
Felton,York,166
Franklintown,York,211
Glen Rock,York,166
Goldsboro,York,93
Hallam,York,112
Hanover,York,183
Jacobus,York,201
Jefferson,York,199
Lewisberry,York,133
Loganville,York,239
Manchester,York,153
Mount Wolf,York,130
New Freedom,York,250
New Salem,York,185
North York,York,123
Railroad,York,227
Red Lion,York,280
Seven Valleys,York,149
Shrewsbury,York,300
Spring Grove,York,145
Stewartstown,York,263
Wellsville,York,159
West York,York,118
Windsor,York,208
Winterstown,York,261
Wrightsville,York,88
Yoe,York,217
York,York,118
Yorkana,York,192
York Haven,York,117
Beverly,Burlington,9
Bordentown,Burlington,17
Burlington,Burlington,2
Riverton,Burlington,4
Palmyra,Burlington,2
Pemberton,Burlington,18
Wrightstown,Burlington,41
Beach Haven,Ocean,1
Beachwood,Ocean,8
Pine Beach,Ocean,6
Point Pleasant,Ocean,5
Point Pleasant Beach,Ocean,3
Seaside Heights,Ocean,2
Seaside Park,Ocean,2
Ship Bottom,Ocean,1
South Toms River,Ocean,8
Lakehurst,Ocean,20
Lavallette,Ocean,1
Ocean Gate,Ocean,1
Surf City,Ocean,1
Tuckerton,Ocean,4
Zanesville,Muskingum,206
Valley-Hi,Fulton,411
McConnellsburg,Fulton,269
Belle Vernon,Fayette,247
Faith,Jefferson,76
Jefferson,Jefferson,105
Tamo,Jefferson,58
Umpire,Howard,259
Langley,Pike,243
Newhope,Pike,231
Harcuvar,La Paz,587
Provo,Sevier,121
Cornerville,Lincoln,74
Palmyra,Lincoln,81
Holly Springs,Dallas,75
Ouachita,Dallas,47
Pickens,Desha,49
Snow Lake,Desha,48
Beardsley,Maricopa,385
Cashion,Maricopa,302
Chandler Heights,Maricopa,433
Higley,Maricopa,396
De Ann,Hempstead,111
Tokio,Hempstead,143
Sheyenne,Eddy,450
Laneburg,Nevada,91
Cathay,Wells,482
Collins,Drew,50
Sykeston,Wells,498
Ingalls,Bradley,49
Sharon,Steele,462
Cactus Flat,Graham,954
Binford,Griggs,464
Calva,Graham,780
Cooperstown,Griggs,437
Glenbar,Graham,854
Clifford,Traill,322
Chicot,Chicot,38
Beulah,Mercer,544
Dome,Yuma,59
Zap,Mercer,563
Hyder,Yuma,164
Stanton,Mercer,519
La Palma,Pinal,448
Fort Fairfield,Aroostook,116
Lawson,Union,63
Fort Kent,Aroostook,171
Mount Holly,Union,80
Houlton,Aroostook,110
Childs,Pima,436
Limestone,Aroostook,181
Cochise,Cochise,1287
Madawaska,Aroostook,129
Dos Cabezas,Cochise,1549
Van Buren,Aroostook,147
Fairbank,Cochise,1176
Beach,Golden Valley,845
Gleeson,Cochise,1501
Sentinel Butte,Golden Valley,829
Steele,Kidder,567
Hereford,Cochise,1278
Tappen,Kidder,539
Circle D-KC Estates,Bastrop,153
Tuttle,Kidder,567
New Orleans,Orleans,0
Woodworth,Stutsman,618
Taft Southwest,San Patricio,16
Cleveland,Stutsman,569
Sun City Center,Hillsborough,16
