NAME,COUNTY,ELEV_IN_M,ELEV_IN_FT
Holland,Erie,337,1106
Livingston Manor,Sullivan,427,1401
Chateaugay,Franklin,288,945
Duane Lake,Schenectady,281,922
Loomis,Davison,398,1306
Lake Erie Beach,Erie,191,627
Smallwood,Sullivan,366,1201
Webster,Monroe,136,446
Panama,Chautauqua,473,1552
Brockport,Monroe,158,518
Lost Lake Woods,Alcona,262,860
Tonawanda,Erie,175,574
Duanesburg,Schenectady,219,718
Bricelyn,Faribault,360,1181
South Fallsburg,Sullivan,386,1266
Sherman,Chautauqua,469,1539
Seymour,Eau Claire,270,886
East Glenville,Schenectady,110,361
Churchville,Monroe,178,584
Beal City,Isabella,263,863
Town Line,Erie,229,751
Jeffersonville,Sullivan,320,1050
Silver Creek,Chautauqua,179,587
Mio,Oscoda,311,1020
East Rochester,Monroe,128,420
West Seneca,Erie,182,597
Liberty,Sullivan,459,1506
Niskayuna,Schenectady,89,292
Canadian Lakes,Mecosta,295,968
Lyons,Wayne,125,410
Farnham,Erie,195,640
Sinclairville,Chautauqua,427,1401
Monticello,Sullivan,461,1512
Macedon,Wayne,144,472
Cambridge,Lamoille,135,443
Rotterdam,Schenectady,103,338
Woodridge,Sullivan,354,1161
Fort Ann,Washington,48,157
Hamburg,Erie,250,820
Westfield,Chautauqua,227,745
Hyde Park,Lamoille,203,666
Mariaville Lake,Schenectady,393,1289
Fort Edward,Washington,42,138
Bemus Point,Chautauqua,403,1322
Newark,Wayne,135,443
Kenmore,Erie,187,614
Granville,Washington,125,410
Wurtsboro,Sullivan,176,577
Jeffersonville,Lamoille,142,466
Scotia,Schenectady,74,243
Brocton,Chautauqua,224,735
Bloomingburg,Sullivan,157,515
Palmyra,Wayne,148,486
Lancaster,Erie,204,669
Bridgeport,Morrill,1117,3665
Red Creek,Wayne,104,341
North Collins,Erie,252,827
Sodus,Wayne,133,436
Orchard Park,Erie,263,863
Sheffield,Warren,408,1339
Greenwich,Washington,114,374
Johnson,Lamoille,152,499
Delanson,Schenectady,249,817
Cassadaga,Chautauqua,408,1339
Sodus Point,Wayne,84,276
Sloan,Erie,187,614
Edgewood,Ashtabula,208,682
Hudson Falls,Washington,90,295
Morrisville,Lamoille,205,673
Bristow,Butler,316,1037
Wolcott,Wayne,113,371
Springville,Erie,405,1329
Salem,Washington,147,482
Celoron,Chautauqua,402,1319
Schenevus,Otsego,397,1302
Brayton,Audubon,369,1211
Lyndonville,Caledonia,216,709
Williamsville,Erie,206,676
Clyde,Wayne,122,400
Brooklyn,Poweshiek,278,912
Cherry Creek,Chautauqua,397,1302
Akron,Erie,226,741
Whitehall,Washington,48,157
Gilbertsville,Otsego,333,1093
Alden,Erie,263,863
Barnes Lake-Millers Lake,Lapeer,259,850
West Burke,Caledonia,275,902
Bronson,Woodbury,341,1119
Angola,Erie,209,686
Argyle,Washington,87,285
Laurens,Otsego,339,1112
Essex Junction,Chittenden,105,344
Blasdell,Erie,186,610
North Amherst,Hampshire,56,184
Cambridge,Washington,149,489
Milford,Otsego,368,1207
Jericho,Chittenden,172,564
Depew,Erie,205,673
South Amherst,Hampshire,70,230
Warrensburg,Warren,227,745
Morris,Otsego,349,1145
Lake Wazeecha,Wood,315,1033
East Aurora,Erie,280,919
Ware,Hampshire,129,423
West Glens Falls,Warren,116,381
Otego,Otsego,326,1070
North Spearfish,Lawrence,1112,3648
Tribes Hill,Montgomery,128,420
Montour Falls,Schuyler,137,449
Lake George,Warren,105,344
Ticonderoga,Essex,46,151
Odessa,Schuyler,318,1043
Richfield Springs,Otsego,400,1312
Hamill,Tripp,537,1762
Watkins Glen,Schuyler,141,463
Unadilla,Otsego,308,1010
Westport,Essex,37,121
Constantia,Oswego,117,384
Burdett,Schuyler,298,978
Cherry Valley,Otsego,410,1345
Lake Placid,Essex,549,1801
Minetto,Oswego,99,325
Westons Mills,Cattaraugus,446,1463
Cooperstown,Otsego,374,1227
Port Henry,Essex,74,243
Hannibal,Oswego,100,328
Nahant,Essex,25,82
Yorkshire,Cattaraugus,437,1434
Houghton Lake,Roscommon,349,1145
Lacona,Oswego,170,558
Rockport,Essex,16,52
Franklinville,Cattaraugus,485,1591
Prudenville,Roscommon,349,1145
Rowley,Essex,15,49
Gowanda,Cattaraugus,232,761
Mexico,Oswego,125,410
Saint Helen,Roscommon,363,1191
Salisbury,Essex,9,30
Limestone,Cattaraugus,429,1407
Parish,Oswego,151,495
Oscoda,Iosco,179,587
Saugus,Essex,8,26
Little Valley,Cattaraugus,487,1598
Phoenix,Oswego,113,371
Au Sable,Iosco,182,597
Perrysburg,Cattaraugus,403,1322
Pulaski,Oswego,113,371
Swampscott,Essex,7,23
Skidway Lake,Ogemaw,243,797
Portville,Cattaraugus,436,1430
Sandy Creek,Oswego,152,499
Topsfield,Essex,19,62
Green Valley,Pennington,925,3035
Randolph,Cattaraugus,389,1276
Altmar,Oswego,175,574
Gainesville,Wyoming,493,1617
Rapid Valley,Pennington,962,3156
South Dayton,Cattaraugus,398,1306
Central Square,Oswego,137,449
Perry,Wyoming,418,1371
Ashland Heights,Pennington,965,3166
Allegany,Cattaraugus,433,1421
Cleveland,Oswego,133,436
Silver Springs,Wyoming,431,1414
Cattaraugus,Cattaraugus,419,1375
Kyle,Shannon,887,2910
Warsaw,Wyoming,309,1014
Delevan,Cattaraugus,434,1424
Wyoming,Wyoming,301,988
Arcade,Wyoming,450,1476
Attica,Wyoming,299,981
Castile,Wyoming,413,1355
Pell Lake,Walworth,263,863
Potter Lake,Walworth,259,850
Como,Walworth,279,915
Delavan Lake,Walworth,285,935
Eagle Lake,Racine,244,801
Bohners Lake,Racine,258,846
Browns Lake,Racine,238,781
Esperance,Schoharie,177,581
Middleburgh,Schoharie,195,640
Richmondville,Schoharie,334,1096
Schoharie,Schoharie,183,600
Sharon Springs,Schoharie,336,1102
Cobleskill,Schoharie,281,922
Westmere,Albany,89,292
Green Island,Albany,7,23
Menands,Albany,11,36
Ravena,Albany,70,230
Voorheesville,Albany,103,338
Altamont,Albany,141,463
Colonie,Albany,95,312
Munsons Corners,Cortland,359,1178
Homer,Cortland,343,1125
Marathon,Cortland,312,1024
McGraw,Cortland,353,1158
Mackey,Gibson,137,449
Owensville,Gibson,155,509
Patoka,Gibson,133,436
Birdseye,Dubois,220,722
Strong City,Chase,365,1197
Little River,Rice,490,1608
Raymond,Rice,526,1726
Olympian Village,Jefferson,180,591
Pevely,Jefferson,139,456
Rich Hill,Bates,244,801
Rockville,Bates,235,771
Passaic,Bates,265,869
Bagnell,Miller,176,577
Brumley,Miller,237,778
Olean,Miller,236,774
Leavenworth,Crawford,201,659
Marengo,Crawford,182,597
Milltown,Crawford,189,620
Corydon,Harrison,179,587
Crandall,Harrison,199,653
Laconia,Harrison,202,663
Lanesville,Harrison,213,699
Mauckport,Harrison,134,440
New Amsterdam,Harrison,137,449
New Middletown,Harrison,214,702
Palmyra,Harrison,235,771
Lone Elm,Anderson,336,1102
Macksville,Stafford,617,2024
Stafford,Stafford,566,1857
Radium,Stafford,595,1952
Saint John,Stafford,580,1903
Seward,Stafford,582,1909
Belle Prairie City,Hamilton,145,476
Chandler,Warrick,126,413
Lynnville,Warrick,141,463
Newburgh,Warrick,120,394
Cynthiana,Posey,144,472
New Harmony,Posey,116,381
Sparta,Randolph,161,528
Red Bud,Randolph,144,472
Lowry City,Saint Clair,266,873
Osceola,Saint Clair,229,751
Pinckneyville,Perry,132,433
Steelville,Crawford,230,755
Potosi,Washington,275,902
Mineral Point,Washington,267,876
Rockport,Spencer,134,440
Rolla,Phelps,341,1119
Saint James,Phelps,333,1093
Orient,Franklin,146,479
Sesser,Franklin,146,479
Saint Mary,Sainte Genevieve,118,387
Sainte Genevieve,Sainte Genevieve,116,381
Potwin,Butler,409,1342
Rose Hill,Butler,409,1342
Park Hills,Saint Francois,231,758
Sheldon,Vernon,281,922
Schell City,Vernon,234,768
Metz,Vernon,240,787
Moundville,Vernon,263,863
Savonburg,Allen,321,1053
Mapleton,Bourbon,269,883
Redfield,Bourbon,263,863
Richland,Pulaski,346,1135
Saint Robert,Pulaski,317,1040
Shawneetown,Gallatin,122,400
Spearville,Ford,750,2461
Maize,Sedgwick,411,1348
Park City,Sedgwick,416,1365
Perryville,Perry,177,581
Longtown,Perry,198,650
Stockton,Cedar,289,948
Pleasant Hope,Polk,339,1112
Morrisville,Polk,355,1165
Preston,Pratt,559,1834
Sawyer,Pratt,581,1906
Salem,Dent,360,1181
Pilot Knob,Iron,293,961
Manter,Stanton,1064,3491
Sublette,Haskell,888,2913
Satanta,Haskell,899,2949
Spivey,Kingman,460,1509
Penalosa,Kingman,527,1729
Stark,Neosho,324,1063
Thayer,Neosho,317,1040
Saint Paul,Neosho,272,892
Burgess,Barton,272,892
Longton,Elk,281,922
Oak Ridge,Cape Girardeau,183,600
Old Appleton,Cape Girardeau,125,410
Licking,Texas,385,1263
Summersville,Texas,376,1234
Rosiclare,Hardin,108,354
Lockwood,Dade,331,1086
Seymour,Webster,501,1644
Rogersville,Webster,445,1460
Mansfield,Wright,452,1483
South Haven,Sumner,342,1122
Oxford,Sumner,362,1188
Plains,Meade,841,2759
Quinter,Gove,813,2667
Manchester,Dickinson,393,1289
Pekin,Tazewell,154,505
Sharon,Barber,444,1457
Solomon,Dickinson,357,1171
Boswell,Benton,230,755
Sun City,Barber,509,1670
Lucas,Russell,454,1489
Otterbein,Benton,216,709
Springfield,Greene,396,1299
Luray,Russell,476,1562
Oxford,Benton,226,741
Strafford,Greene,454,1489
Paradise,Russell,516,1693
Burlington,Carroll,239,784
Republic,Greene,399,1309
Seymour,Jackson,183,600
Camden,Carroll,204,669
Richfield,Morton,1033,3389
Brownstown,Jackson,190,623
Saint Marys,Auglaize,265,869
Rolla,Morton,1012,3320
Crothersville,Jackson,170,558
Matthews,Grant,268,879
Protection,Comanche,564,1850
Medora,Jackson,161,528
Bentley,Hancock,206,676
Oronogo,Jasper,280,919
Otterville,Cooper,226,741
Macomb,McDonough,216,709
Purcell,Jasper,294,965
Pilot Grove,Cooper,257,843
Queen City,Schuyler,306,1004
Sarcoxie,Jasper,332,1089
Prairie Home,Cooper,272,892
Tarkio,Atchison,283,928
Avilla,Jasper,342,1122
Brooklyn Heights,Jasper,302,991
Rising Sun,Ohio,153,502
Rock Port,Atchison,287,942
Roseland,Cherokee,283,928
Madison,Madison,126,413
Princeton,Mercer,293,961
Oolitic,Lawrence,183,600
Mercer,Mercer,328,1076
Piedmont,Wayne,151,495
Portage Des Sioux,Saint Charles,132,433
Skidmore,Nodaway,288,945
Peru,Chautauqua,239,784
Saint Charles,Saint Charles,150,492
Parnell,Nodaway,314,1030
Sedan,Chautauqua,263,863
Saint Paul,Saint Charles,157,515
Conception Junction,Nodaway,306,1004
Stotts City,Lawrence,349,1145
Saint Peters,Saint Charles,135,443
Ridgeway,Harrison,322,1056
Pierce City,Lawrence,371,1217
Smolan,Saline,391,1283
Sikeston,Scott,100,328
Mount Moriah,Harrison,251,823
Smithton,Pettis,266,873
Oran,Scott,103,338
Sedalia,Pettis,277,909
Portland,Jay,276,906
Scott City,Scott,111,364
Chilhowee,Johnson,281,922
Bryant,Jay,266,873
Puxico,Stoddard,113,371
Patriot,Switzerland,144,472
Sparta,Christian,428,1404
Battle Ground,Tippecanoe,179,587
Lupus,Moniteau,176,577
Clarks Hill,Tippecanoe,252,827
Ozark,Christian,356,1168
Madison,Jefferson,149,489
Dayton,Tippecanoe,206,676
Brooksburg,Jefferson,144,472
Peru,Nemaha,330,1083
Seneca,Newton,258,846
Bruceville,Knox,169,554
Tecumseh,Johnson,346,1135
Diamond,Newton,353,1158
Decker,Knox,142,466
Loma Linda,Newton,308,1010
Monroe City,Knox,159,522
Sidney,Shelby,291,955
Oaktown,Knox,144,472
Powell,Delaware,276,906
Newtonia,Newton,367,1204
Reeds Spring,Stone,361,1184
Loogootee,Martin,164,538
Colfax,Clinton,258,846
Blue Eye,Stone,392,1286
Crane,Martin,187,614
Kirklin,Clinton,280,919
Purdy,Barry,452,1483
Cannelburg,Daviess,161,528
Michigantown,Clinton,267,876
Seligman,Barry,468,1535
Montgomery,Daviess,161,528
Mulberry,Clinton,239,784
Odon,Daviess,167,548
Poplar Bluff,Butler,110,361
Newtown,Sullivan,290,951
Stanberry,Gentry,292,958
Qulin,Butler,96,315
Manchester,Saint Louis,176,577
Chesterfield,Madison,277,909
Maplewood,Saint Louis,154,505
Thayer,Oregon,161,528
Koshkonong,Oregon,297,974
Country Club Heights,Madison,268,879
Shrewsbury,Saint Louis,167,548
Lapel,Madison,262,860
Sunset Hills,Saint Louis,188,617
Lilbourn,New Madrid,87,285
Markleville,Madison,290,951
Olivette,Saint Louis,202,663
Tallapoosa,New Madrid,83,272
Orestes,Madison,266,873
Parma,New Madrid,85,279
Overland,Saint Louis,195,640
Pagedale,Saint Louis,174,571
Daleville,Delaware,278,912
Portageville,New Madrid,87,285
Pasadena Hills,Saint Louis,198,650
Mellott,Fountain,215,705
Risco,New Madrid,84,276
Parker,Linn,306,1004
Newtown,Fountain,216,709
Catron,New Madrid,86,282
Pleasanton,Linn,261,856
Red Cloud,Webster,524,1719
Rockaway Beach,Taney,221,725
Prescott,Linn,270,886
Superior,Nuckolls,487,1598
Pineville,McDonald,274,899
Rozel,Pawnee,632,2073
Lincoln,Logan,177,581
Lanagan,McDonald,265,869
Linn Creek,Camden,209,686
Losantville,Randolph,345,1132
Malden,Dunklin,89,292
Macks Creek,Camden,268,879
Lynn,Randolph,360,1181
Senath,Dunklin,78,256
Stoutland,Camden,354,1161
Osage Beach,Camden,261,856
Modoc,Randolph,358,1175
Steele,Pemiscot,80,262
Parker City,Randolph,312,1024
Bragg City,Pemiscot,79,259
Tell City,Perry,128,420
Rushville,Schuyler,205,673
Warroad,Roseau,325,1066
Syracuse,Hamilton,985,3232
Spickard,Grundy,251,823
Tower,Saint Louis,426,1398
Chrisney,Spencer,143,469
Pawnee City,Pawnee,360,1181
Virginia,Saint Louis,439,1440
Dale,Spencer,142,466
Maitland,Holt,288,945
Winton,Saint Louis,406,1332
Sedgwick,Harvey,421,1381
Viking,Marshall,326,1070
Oregon,Holt,333,1093
Madison,Greenwood,333,1093
Warren,Marshall,261,856
Corning,Holt,266,873
Severy,Greenwood,339,1112
Turtle River,Beltrami,404,1325
Lewistown,Lewis,220,722
South Hutchinson,Reno,466,1529
Wilton,Beltrami,425,1394
Cicero,Hamilton,254,833
Sylvia,Reno,528,1732
Two Harbors,Lake,204,669
Darlington,Montgomery,232,761
Partridge,Reno,491,1611
Trail,Polk,369,1211
Plevna,Reno,515,1690
Ladoga,Montgomery,251,823
Winger,Polk,376,1234
Pretty Prairie,Reno,479,1572
Linden,Montgomery,243,797
Warba,Itasca,391,1283
Darmstadt,Vanderburgh,146,479
New Market,Montgomery,246,807
Zemple,Itasca,394,1293
Pine Lawn,Saint Louis,186,610
New Richmond,Montgomery,239,784
Waubun,Mahnomen,380,1247
Richmond Heights,Saint Louis,161,528
New Ross,Montgomery,270,886
Twin Valley,Norman,333,1093
Rock Hill,Saint Louis,161,528
Quincy,Adams,173,568
Walker,Cass,400,1312
Saint Ann,Saint Louis,177,581
Piqua,Miami,267,876
Wolf Lake,Becker,480,1575
Saint John,Saint Louis,185,607
Saint Clairsville,Belmont,386,1266
Ulen,Clay,351,1152
Norwood Court,Saint Louis,182,597
Petersburg,Menard,156,512
Verndale,Wadena,411,1348
Parkerville,Morris,413,1355
Wadena,Wadena,412,1352
Lorraine,Ellsworth,545,1788
Cayuga,Vermillion,155,509
Trommald,Crow Wing,372,1220
Lyndon,Osage,317,1040
Dana,Vermillion,195,640
Wrenshall,Carlton,317,1040
Olivet,Osage,351,1152
Newport,Vermillion,161,528
Wright,Carlton,398,1306
Overbrook,Osage,367,1204
Reynoldsburg,Franklin,268,879
Underwood,Otter Tail,411,1348
Quenemo,Osage,287,942
Pattonsburg,Daviess,276,906
Urbank,Otter Tail,450,1476
Rea,Andrew,328,1076
Vergas,Otter Tail,430,1411
Scranton,Osage,342,1122
Vining,Otter Tail,425,1394
Sumner,Lawrence,139,456
Rosendale,Andrew,278,912
Wolverton,Wilkin,283,928
Saint Francisville,Lawrence,142,466
Savannah,Andrew,337,1106
Blountsville,Henry,333,1093
Alpha,Iron,434,1424
Olney,Richland,146,479
Cadiz,Henry,333,1093
Willow River,Pine,317,1040
Strasburg,Cass,258,846
Knightstown,Henry,284,932
Lewisville,Henry,321,1053
West Union,Todd,408,1339
Peculiar,Cass,302,991
Middletown,Henry,298,978
Upsala,Morrison,366,1201
Pleasant Hill,Cass,277,909
Wahkon,Mille Lacs,388,1273
Raymore,Cass,334,1096
Mooreland,Henry,342,1122
Mount Summit,Henry,333,1093
Wendell,Grant,350,1148
Scottsburg,Scott,172,564
Macon,Macon,218,715
Tintah,Traverse,304,997
Salem,Marion,165,541
Macon,Macon,265,869
Wheaton,Traverse,310,1017
Salem,Washington,229,751
Linneus,Linn,253,830
Carney,Menominee,243,797
Campbellsburg,Washington,255,837
Purdin,Linn,270,886
Waite Park,Stearns,327,1073
Little York,Washington,167,548
Stewartsville,DeKalb,294,965
Villard,Pope,415,1362
Livonia,Washington,240,787
Osborn,DeKalb,312,1024
Westport,Pope,406,1332
New Pekin,Washington,217,712
Richmond,Wayne,299,981
Wyoming,Chisago,276,906
Lohman,Cole,206,676
Boston,Wayne,345,1132
Zimmerman,Sherburne,303,994
Taos,Cole,223,732
Cambridge City,Wayne,285,935
Waverly,Wright,307,1007
Russellville,Cole,269,883
Willmar,Kandiyohi,348,1142
Centerville,Wayne,309,1014
Watkins,Meeker,353,1158
Dublin,Wayne,321,1053
Brownington,Henry,228,748
Willernie,Washington,294,965
Milton,Wayne,284,932
Petersburg,Pike,147,482
Woodbury,Washington,324,1063
Mount Auburn,Wayne,302,991
Lincoln,Benton,293,961
Tonka Bay,Hennepin,287,942
Saint Francis,Cheyenne,1012,3320
Princeton,Gibson,152,499
Wayzata,Hennepin,287,942
Mankato,Jewell,541,1775
Woodland,Hennepin,290,951
Randall,Jewell,444,1457
Smith Center,Smith,547,1795
Republic,Republic,457,1499
Scandia,Republic,439,1440
Linn,Washington,445,1460
Mahaska,Washington,487,1598
Stanley,Buchanan,340,1115
Palmer,Washington,405,1329
Quasqueton,Buchanan,269,883
Logan,Phillips,602,1975
Rowley,Buchanan,299,981
Long Island,Phillips,631,2070
Raymond,Black Hawk,277,909
Speed,Phillips,568,1863
Prairie View,Phillips,668,2192
Sloan,Woodbury,327,1073
Summerfield,Marshall,461,1512
Smithland,Woodbury,331,1086
Powhattan,Brown,366,1201
Oto,Woodbury,333,1093
Reserve,Brown,276,906
Pierson,Woodbury,390,1280
Robinson,Brown,291,955
Salix,Woodbury,330,1083
Oneida,Nemaha,375,1230
Sergeant Bluff,Woodbury,333,1093
Severance,Doniphan,282,925
Lytton,Sac,374,1227
Springfield,Sangamon,183,600
Sac City,Sac,371,1217
Ludlow,Livingston,227,745
Schaller,Sac,428,1404
Shelbina,Shelby,237,778
Lohrville,Calhoun,352,1155
Shelbyville,Shelby,232,761
Manson,Calhoun,378,1240
Bloomingdale,Parke,196,643
Marshall,Parke,214,702
Somers,Calhoun,353,1158
Mecca,Parke,156,512
Pomeroy,Calhoun,378,1240
Montezuma,Parke,154,505
Rinard,Calhoun,355,1165
Rockwell City,Calhoun,376,1234
Palmyra,Marion,195,640
Stanhope,Hamilton,340,1115
McCordsville,Hancock,259,850
New Palestine,Hancock,255,837
Stratford,Hamilton,338,1109
Pickerington,Fairfield,256,840
Randall,Hamilton,311,1020
Southport,Marion,228,748
Steamboat Rock,Hardin,309,1014
Clermont,Marion,254,833
Owasa,Hardin,330,1083
Crows Nest,Marion,236,774
Radcliffe,Hardin,361,1184
Cumberland,Marion,260,853
Stout,Grundy,311,1020
Meridian Hills,Marion,242,794
North Crows Nest,Marion,238,781
Reinbeck,Grundy,293,961
Avon,Hendricks,254,833
South Sioux City,Dakota,337,1106
Loves Park,Winnebago,222,728
Brownsburg,Hendricks,269,883
South Beloit,Winnebago,225,738
Clayton,Hendricks,267,876
Coatesville,Hendricks,269,883
Rockford,Winnebago,219,718
Danville,Hendricks,291,955
Park City,Lake,212,696
Osmond,Pierce,506,1660
Lizton,Hendricks,292,958
Pierce,Pierce,482,1581
North Salem,Hendricks,273,896
Plainview,Pierce,513,1683
Paris,Edgar,221,725
Maquoketa,Jackson,214,702
Bainbridge,Putnam,284,932
Spragueville,Jackson,202,663
Cloverdale,Putnam,250,820
Springbrook,Jackson,262,860
Preston,Jackson,197,646
Pittsfield,Pike,223,732
Sabula,Jackson,181,594
New Canton,Pike,145,476
Saint Donatus,Jackson,204,669
Taylorville,Christian,192,630
Luzerne,Benton,285,935
Lisbon,Linn,263,863
Pana,Christian,213,699
Springville,Linn,254,833
Saint Joseph,Buchanan,270,886
De Kalb,Buchanan,349,1145
Palo,Linn,226,741
Lewis and Clark Village,Buchanan,241,791
Prairieburg,Linn,305,1001
Sullivan,Moultrie,205,673
Robins,Linn,259,850
Lincoln,Tama,323,1060
Rushville,Rush,292,958
Tama,Tama,257,843
Carthage,Rush,267,876
Olin,Jones,232,761
Naples,Scott,134,440
Onslow,Jones,280,919
Polo,Caldwell,309,1014
Oxford Junction,Jones,223,732
Plattsburg,Clinton,289,948
Mapleton,Monona,347,1138
Liberty,Union,300,984
Soldier,Monona,359,1178
Salisbury,Chariton,226,741
Rodney,Monona,340,1115
Dalton,Chariton,217,712
Liscomb,Marshall,308,1010
Shelbyville,Shelby,233,764
State Center,Marshall,326,1070
Rhodes,Marshall,311,1020
Morristown,Shelby,254,833
Saint Anthony,Marshall,308,1010
Perry,Ralls,212,696
Lidderdale,Carroll,377,1237
Madison,Monroe,244,801
Templeton,Carroll,440,1444
Paris,Monroe,211,692
Ralston,Carroll,344,1129
Logan,Hocking,226,741
Manilla,Crawford,413,1355
Soldier,Jackson,371,1217
Ricketts,Crawford,399,1309
Shelbyville,Shelby,195,640
Schleswig,Crawford,458,1503
Bargersville,Johnson,250,820
Luther,Boone,333,1093
New Whiteland,Johnson,246,807
Madrid,Boone,310,1017
Bethany,Morgan,200,656
Pilot Mound,Boone,338,1109
Oxford,Butler,281,922
Paton,Greene,336,1102
Springboro,Warren,238,781
Rippey,Greene,327,1073
Stockton,Rooks,549,1801
Scranton,Greene,357,1171
Palco,Rooks,694,2277
Sheldahl,Story,314,1030
Plainville,Rooks,654,2146
Slater,Story,316,1037
Story City,Story,306,1004
Rexford,Thomas,901,2956
Roland,Story,312,1024
Portis,Osborne,470,1542
Oregon,Ogle,216,709
Selden,Sheridan,864,2835
Polo,Ogle,263,863
Longford,Clay,408,1339
Simpson,Mitchell,406,1332
Rochelle,Ogle,250,820
Scottsville,Mitchell,476,1562
Savanna,Carroll,182,597
Palos Heights,Cook,190,623
Randolph,Riley,377,1237
Palos Hills,Cook,181,594
Riley,Riley,393,1289
Park Ridge,Cook,196,643
Louisville,Pottawatomie,308,1010
Olsburg,Pottawatomie,435,1427
Prospect Heights,Cook,204,669
Rolling Meadows,Cook,219,718
Onaga,Pottawatomie,336,1102
Cicero,Cook,184,604
Saint George,Pottawatomie,313,1027
Sycamore,DeKalb,266,873
Saint Marys,Pottawatomie,291,955
Sandwich,DeKalb,203,666
Parkville,Platte,253,830
Platte City,Platte,250,820
Cortland,DeKalb,275,902
Platte Woods,Platte,311,1020
Saint Charles,Kane,223,732
Riverside,Platte,236,774
Madison,Madison,483,1585
Brookville,Franklin,203,666
Stanton,Stanton,451,1480
Cedar Grove,Franklin,183,600
Lyons,Burt,394,1293
Laurel,Franklin,222,728
Lost Nation,Clinton,230,755
Mount Carmel,Franklin,311,1020
Low Moor,Clinton,198,650
Oldenburg,Franklin,271,889
Oshkosh,Garden,1033,3389
Orrick,Ray,219,718
Richmond,Ray,251,823
Scottsbluff,Scotts Bluff,1186,3891
Litchfield,Montgomery,210,689
Lowden,Cedar,222,728
Stanwood,Cedar,256,840
Sterling,Whiteside,201,659
Prophetstown,Whiteside,190,623
Lyle,Mower,368,1207
Mapleview,Mower,373,1224
Taopi,Mower,410,1345
Racine,Mower,393,1289
Rose Creek,Mower,381,1250
Sargeant,Mower,423,1388
Staunton,Macoupin,189,620
Rock Falls,Whiteside,197,646
Spring Grove,Houston,404,1325
La Paz,Marshall,262,860
Nilwood,Macoupin,204,669
Saint Edward,Boone,507,1663
Mabel,Fillmore,344,1129
Burket,Kosciusko,263,863
Little Sioux,Harrison,316,1037
Spring Valley,Fillmore,388,1273
Claypool,Kosciusko,271,889
Roodhouse,Greene,200,656
Logan,Harrison,334,1096
Ostrander,Fillmore,410,1345
Leesburg,Kosciusko,261,856
Smithville,Clay,248,814
Magnolia,Harrison,408,1339
Pleasant Valley,Clay,236,774
Persia,Harrison,358,1175
Peterson,Fillmore,231,758
Mentone,Kosciusko,256,840
Pisgah,Harrison,323,1060
Preston,Fillmore,292,958
Millhousen,Decatur,273,896
Milford,Kosciusko,255,837
Parnell,Iowa,263,863
Rushford,Fillmore,222,728
New Point,Decatur,297,974
North Webster,Kosciusko,269,883
Linden,Dallas,342,1122
Rushford Village,Fillmore,227,745
Sidney,Cheyenne,1246,4088
Perry,Dallas,294,965
Oskaloosa,Jefferson,340,1115
Sherburn,Martin,393,1289
North Judson,Starke,217,712
Redfield,Dallas,294,965
Ozawkie,Jefferson,304,997
Stromsburg,Polk,511,1676
Shelby,Shelby,398,1306
Perry,Jefferson,260,853
Thompson,Winnebago,387,1270
Tennant,Shelby,421,1381
Linwood,Leavenworth,245,804
Rake,Winnebago,353,1158
Osceola,Polk,508,1667
Scarville,Winnebago,382,1253
Saint Paul,Howard,553,1814
Panama,Shelby,385,1263
Slater,Saline,260,853
Lone Rock,Kossuth,366,1201
Loup City,Sherman,632,2073
Portsmouth,Shelby,372,1220
Sweet Springs,Saline,218,715
Lu Verne,Kossuth,349,1145
Omaha,Douglas,323,1060
Malcom,Poweshiek,279,915
Malta Bend,Saline,213,699
Swea City,Kossuth,360,1181
Ralston,Douglas,349,1145
Searsboro,Poweshiek,257,843
Mount Leonard,Saline,243,797
Clifford,Bartholomew,201,659
Spirit Lake,Dickinson,449,1473
Ravenna,Portage,346,1135
Pleasant Hill,Polk,263,863
Martinsburg,Audrain,246,807
Superior,Dickinson,457,1499
Churubusco,Whitley,273,896
Polk City,Polk,270,886
Nashville,Brown,181,594
Terril,Dickinson,437,1434
Larwill,Whitley,294,965
Runnells,Polk,246,807
Milan,Ripley,302,991
Orleans,Dickinson,429,1407
Rensselaer,Jasper,202,663
Lynnville,Jasper,253,830
Napoleon,Ripley,294,965
Ringsted,Emmet,392,1286
DeMotte,Jasper,204,669
Sully,Jasper,280,919
Osgood,Ripley,300,984
Manly,Worth,366,1201
Leo-Cedarville,Allen,243,797
Prairie City,Jasper,283,928
Dillsboro,Dearborn,265,869
Sibley,Osceola,462,1516
Monroeville,Allen,241,791
Stacyville,Mitchell,365,1197
Brook,Newton,199,653
Reasnor,Jasper,232,761
Moores Hill,Dearborn,302,991
Orchard,Mitchell,336,1102
Morocco,Newton,213,699
Panora,Guthrie,326,1070
Tescott,Ottawa,395,1296
Osage,Mitchell,360,1181
Mount Ayr,Newton,216,709
Lone Tree,Johnson,221,725
Dover,Lafayette,250,820
Saint Ansgar,Mitchell,357,1171
Shueyville,Johnson,244,801
Otterville,Jersey,191,627
Springfield,Sarpy,325,1066
Little Rock,Lyon,454,1489
Solon,Johnson,244,801
Sullivan,Sullivan,161,528
Papillion,Sarpy,308,1010
Rock Rapids,Lyon,423,1388
Carlisle,Sullivan,147,482
Rochester,Fulton,238,781
Swisher,Johnson,241,791
Lime Springs,Howard,378,1240
Dugger,Sullivan,176,577
Medaryville,Pulaski,210,689
