NAME,COUNTY,ELEV_IN_M,ELEV_IN_FT
Woodlawn,Hamilton,179,587
Altoona,Blair,354,1161
Daisytown,Cambria,548,1798
Wyoming,Hamilton,176,577
Bellwood,Blair,322,1056
Dale,Cambria,398,1306
Junction City,Geary,337,1106
Duncansville,Blair,313,1027
East Conemaugh,Cambria,393,1289
Topeka,Shawnee,289,948
Hollidaysburg,Blair,289,948
Ebensburg,Cambria,651,2136
Wellston,Jackson,225,738
Martinsburg,Blair,428,1404
Ehrenfeld,Cambria,467,1532
Winchester,Winchester (city),216,709
Newry,Blair,320,1050
Ferndale,Cambria,364,1194
Bonner Springs,Wyandotte,266,873
Roaring Spring,Blair,399,1309
Edwardsville,Wyandotte,238,781
Tyrone,Blair,271,889
Franklin,Cambria,381,1250
Williamsburg,Blair,258,846
Gallitzin,Cambria,665,2182
Kansas City,Wyandotte,265,869
Tunnelhill,Blair,707,2320
Geistown,Cambria,576,1890
Ellis,Ellis,646,2119
Plainfield,Union,34,112
Hastings,Cambria,526,1726
Hays,Ellis,616,2021
Rahway,Union,5,16
Johnstown,Cambria,355,1165
Abilene,Dickinson,352,1155
Roselle,Union,23,75
Lilly,Cambria,579,1900
Herington,Dickinson,412,1352
Roselle Park,Union,23,75
Lorain,Cambria,470,1542
Russell,Russell,557,1827
Linden,Union,5,16
Loretto,Cambria,592,1942
Lawrence,Douglas,264,866
New Providence,Union,67,220
Nanty Glo,Cambria,533,1749
De Soto,Johnson,262,860
Westfield,Union,39,128
Patton,Cambria,535,1755
Edgerton,Johnson,305,1001
Northern Cambria,Cambria,462,1516
Portage,Cambria,513,1683
Fairway,Johnson,292,958
Summerhill,Cambria,487,1598
Sankertown,Cambria,631,2070
Gardner,Johnson,323,1060
Beaverdale,Cambria,586,1923
Scalp Level,Cambria,539,1768
South Fork,Cambria,456,1496
Lake Quivira,Johnson,276,906
Southmont,Cambria,486,1594
Leawood,Johnson,287,942
Vintondale,Cambria,427,1401
Lenexa,Johnson,314,1030
Westmont,Cambria,534,1752
Roeland Park,Johnson,302,991
Wilmore,Cambria,476,1562
Shawnee,Johnson,325,1066
Hastings,Adams,586,1923
Spring Hill,Johnson,324,1063
Holdrege,Phelps,711,2333
Westwood,Johnson,290,951
Lower Burrell,Westmoreland,229,751
Prairie Village,Johnson,302,991
Derry,Westmoreland,360,1181
New Boston,Scioto,163,535
Donegal,Westmoreland,552,1811
Portsmouth,Scioto,163,535
East Vandergrift,Westmoreland,245,804
Salina,Saline,373,1224
Export,Westmoreland,298,978
Council Grove,Morris,377,1237
Greensburg,Westmoreland,314,1030
Ellsworth,Ellsworth,469,1539
Hunker,Westmoreland,286,938
Fairfax,Fairfax (city),132,433
Hyde Park,Westmoreland,242,794
Saint Louis,St. Louis (city),141,463
Irwin,Westmoreland,295,968
Emporia,Lyon,348,1142
Jeannette,Westmoreland,315,1033
Louisburg,Miami,333,1093
Latrobe,Westmoreland,309,1014
Paola,Miami,279,915
Ligonier,Westmoreland,366,1201
Ellinwood,Barton,546,1791
Madison,Westmoreland,345,1132
Great Bend,Barton,564,1850
Manor,Westmoreland,285,935
Hoisington,Barton,563,1847
Avalon,Allegheny,292,958
Monessen,Westmoreland,343,1125
Lindsborg,McPherson,406,1332
Baldwin,Allegheny,352,1155
Mount Pleasant,Westmoreland,353,1158
McPherson,McPherson,456,1496
Murrysville,Westmoreland,276,906
Florence,Marion,387,1270
Bell Acres,Allegheny,358,1175
New Alexandria,Westmoreland,304,997
Hillsboro,Marion,436,1430
Bellevue,Allegheny,298,978
New Florence,Westmoreland,329,1079
Lyons,Rice,512,1680
New Kensington,Westmoreland,241,791
